The New York Times Retweeted;@kitastew;2021-12-04T14:29:47.000Z;Christmas Tree Questions? Ask the Mayor of Rockefeller Center. For two decades, Correll Jones has been the man to ask about New York’s most famous tree — and where to find the public bathrooms.;4;17
The New York Times;@nytimes;2021-12-04T17:04:04.000Z;Omicron and Travel: So, Now Do I Need Trip Insurance? In light of the new variant, is extra protection warranted for things like flight and lodging cancellations and quarantine hotels? It depends. Here’s what you need to know.;18;17
The New York Times;@nytimes;2021-12-04T17:00:13.000Z;Voting Battles of 2022 Take Shape as G.O.P. Crafts New Election Bills Republicans plan to carry their push to reshape the nation’s electoral system into next year, with Democrats vowing to oppose them but holding few options in G.O.P.-led states.;83;131
The New York Times;@nytimes;2021-12-04T16:50:05.000Z;Money Found by Plumber at Joel Osteen’s Church Is Tied to 2014 Burglary, Police Say The discovery was revealed when the plumber called into a Houston radio show on Thursday.;75;177
The New York Times;@nytimes;2021-12-04T16:45:07.000Z;The Variant Hunters: Inside South Africa’s Effort to Stanch Dangerous Mutations Scientists in a cutting-edge laboratory do part of the work. Local health workers on foot do the rest.;29;103
The New York Times;@nytimes;2021-12-04T16:20:06.000Z;Samba, Cachaça and Pickled Eggs: ‘Dirty Feet’ Bars Are ‘Essence of Rio’ A cross between a dive bar and a greasy spoon, Rio de Janeiro’s beloved (and proudly filthy) hole-in-the wall joints are some of the most democratic spaces in a deeply unequal city.;17;65
The New York Times Retweeted;@cegoldbaum;2021-12-04T16:09:43.000Z;Facing Economic Collapse, Afghanistan Is Gripped by Starvation An estimated 22.8 million people — more than half the country’s population — are expected to face potentially life-threatening food insecurity this winter. Many are already on the brink of catastro...;38;137
The New York Times;@nytimes;2021-12-04T10:00:15.000Z;The Best Santa Hats for Christmas Subpar Santa hats dominate store shelves, but we’ve found some stellar Santa hats for every price and personality.;22;28
The New York Times Retweeted;@IKershner;2021-12-03T16:28:14.000Z;Stabbed 20 Times by Her Husband, She Now Fights Laws Favoring Abusers Shira Isakov, once a little-known Israeli working in advertising, has become a national force in the struggle to combat domestic violence and change the legal landscape on parental rights.;9;42
The New York Times;@nytimes;2021-12-04T09:00:18.000Z;English Teenager Finds Bronze Age Ax Using a Metal Detector On her third day out with a metal detector, Milly Hardwick, 13, found a hoard of items from more than 3,000 years ago. “We were just laughing our heads off,” she said.;31;144
The New York Times;@nytimes;2021-12-04T08:05:16.000Z;Parents of Michigan Shooting Suspect Arrested, Police Say The couple were charged after officials said their son carried out the shootings using a handgun his parents had bought for him.;90;293
The New York Times;@nytimes;2021-12-04T08:00:08.000Z;Taliban Decree an End to Forced Marriages in Afghanistan The decree, attributed to the group’s religious leader, calls for more rights for women under Islamic law, but does not say whether women will regain easier access to education or jobs.;33;103
The New York Times Retweeted;@dionnesearcey;2021-12-04T02:33:40.000Z;Congo Ousts Mining Leader in a Cloud of Corruption Claims The country’s president removed Albert Yuma Mulimbi as chairman of the state mining firm. Cobalt in Congo is a crucial resource in the global clean energy revolution.;6;34
The New York Times;@nytimes;2021-12-04T07:00:11.000Z;A man in Italy tries to get a shot in a fake arm to qualify for a vaccination certificate. The stratagem was the latest and perhaps most original episode of vaccine evasion in the struggle between Italy’s government and the country’s anti-vaccine faction.;84;282
The New York Times;@nytimes;2021-12-04T01:53:18.000Z;Going Deep Into Oyster Country From coastal Virginia to New York and New Orleans, a writer delves into the history and lore surrounding the shellfish, with a focus on the role African Americans have played over the years.;16;41
The New York Times Retweeted;@MitchKSmith;2021-12-04T00:17:59.000Z;Inside a Sequencing Lab on the Front Lines of America’s Search for Omicron More states are finding cases of the new variant. Tracking its spread, experts say, is key to understanding what threat it poses.;11;33
The New York Times;@nytimes;2021-12-04T00:54:04.000Z;Israeli Company’s Spyware Is Used to Target U.S. Embassy Employees in Africa The hack is the first known case of the spyware, known as Pegasus, being used against American officials.;65;175
The New York Times Retweeted;@luisferre;2021-12-03T23:56:16.000Z;Federal Scrutiny of Cuomo Widens to His Office’s Treatment of Women The Justice Department opened an inquiry into reports of sexual harassment and retaliation in the former governor’s administration.;76;234
The New York Times;@nytimes;2021-12-04T00:00:08.000Z;International television got a big boost in the American consciousness this year. These are the best international shows of 2021, according to our critics.;76;451
The New York Times Retweeted;@alanisthames;2021-12-03T22:12:33.000Z;At Jackson State, the ‘Prime Effect’ Reverberates In his first full season as the football coach, Deion Sanders has guided the Tigers to the conference championship game and energized a community. He says he’s just getting started.;9;74
The New York Times;@nytimes;2021-12-03T23:23:05.000Z;Jury Chosen in Trial of Kimberly Potter, Officer Who Fatally Shot Daunte Wright Many of the jurors said they had already seen body camera video of Ms. Potter, a former police officer in Brooklyn Center, Minn., fatally shooting Daunte Wright after seeming to mistake her gun for...;13;24
The New York Times;@nytimes;2021-12-03T23:00:13.000Z;Upstate New York Hospitals Are Overwhelmed as Covid Cases Surge Health care officials say a “perfect storm” of new Covid cases, staff shortages and filled nursing homes has created a crisis.;69;128
The New York Times Retweeted;@kimmelman;2021-12-03T18:36:11.000Z;What Does It Mean to Save a Neighborhood? Nine years after Hurricane Sandy, residents of Lower Manhattan are still vulnerable to rising seas. The fight over a plan to protect them reveals why progress on our most critical challenges is so...;9;30
The New York Times;@nytimes;2021-12-03T20:45:05.000Z;U.S. Opens Civil Rights Investigation Into Police in New York Suburb The inquiry will focus on whether the Mount Vernon department engaged in a “pattern or practice of unlawful policing, officials said.;27;94
The New York Times;@nytimes;2021-12-03T20:30:16.000Z;As many New York City hotels sat empty during the pandemic, and homelessness continued to rise, it was a once-in-a-generation chance to convert struggling hotels into affordable housing. But none were converted. So what happened?;31;58
