UserName,Handle,Timestamp,Comments,Likes,Retweets,Text
Bloomberg,@business,2021-12-27T13:22:51.000Z,"Defending Champ US Holds Off Slovakia to Open World Juniors
bloomberg.com
Defending Champ US Holds Off Slovakia to Open World Juniors
Red Deer, Alberta (AP) -- Boston University goalie Drew Commesso made 23 saves and the defending champion United States opened the world junior hockey championship with a 3-2 victory over Slovakia on...
3
7
16Bloomberg
@business
·
5h
Defending Champ US Holds Off Slovakia to Open World Juniors
bloomberg.com
Defending Champ US Holds Off Slovakia to Open World Juniors
Red Deer, Alberta (AP) -- Boston University goalie Drew Commesso made 23 saves and the defending champion United States opened the world junior hockey championship with a 3-2 victory over Slovakia on...
3
7
16",3,7,16
Bloomberg,@business,2021-12-27T13:21:04.000Z,"Here's what faces travelers arriving at Hong Kong's spartan, tightly-secured government-run Covid camp
bloomberg.com
What Quarantine Is Like Inside Hong Kong's Bleak, High-Security Camp
Omicron means more travelers, including those from the U.S., must isolate at the government-run facility
6
23
27Bloomberg
@business
·
5h
Here's what faces travelers arriving at Hong Kong's spartan, tightly-secured government-run Covid camp
bloomberg.com
What Quarantine Is Like Inside Hong Kong's Bleak, High-Security Camp
Omicron means more travelers, including those from the U.S., must isolate at the government-run facility
6
23
27",6,23,27
Bloomberg,@business,2021-12-27T13:19:28.000Z,"Iraq’s top court rejects an appeal filed by Iran-backed factions contesting the results of country's parliamentary elections held in October, AP reports
bloomberg.com
Iraq’s Top Court Rejects Appeal Contesting Election Results
Baghdad (AP) -- Iraq’s top court on Monday rejected an appeal filed by Iran-backed factions contesting the results of country's parliamentary elections held in October. The development marked another...
3
6
9Bloomberg
@business
·
5h
Iraq’s top court rejects an appeal filed by Iran-backed factions contesting the results of country's parliamentary elections held in October, AP reports
bloomberg.com
Iraq’s Top Court Rejects Appeal Contesting Election Results
Baghdad (AP) -- Iraq’s top court on Monday rejected an appeal filed by Iran-backed factions contesting the results of country's parliamentary elections held in October. The development marked another...
3
6
9",3,6,9
Bloomberg,@business,2021-12-27T13:13:06.000Z,"The bottom 90% of Americans are borrowing from the top 1% https://trib.al/6n4vzrJ via 
@BW
bloomberg.com
The Bottom 90% of Americans Are Borrowing From the Top 1%
The savings of the rich are recycled into household and government debt.
15
47
85Bloomberg
@business
·
5h
The bottom 90% of Americans are borrowing from the top 1% https://trib.al/6n4vzrJ via 
@BW
bloomberg.com
The Bottom 90% of Americans Are Borrowing From the Top 1%
The savings of the rich are recycled into household and government debt.
15
47
85",15,47,85
Bloomberg,@business,2021-12-27T13:03:37.000Z,"British police are investigating a video linked to a man armed with a crossbow who was arrested at Windsor Castle on Christmas Day, AP reports
bloomberg.com
Police Probe Video Linked to Windsor Castle Christmas Breach
London (AP) -- British police said Monday they were investigating a video linked to a man armed with a crossbow who was arrested at Windsor Castle on Christmas Day.
6
15
20Bloomberg
@business
·
5h
British police are investigating a video linked to a man armed with a crossbow who was arrested at Windsor Castle on Christmas Day, AP reports
bloomberg.com
Police Probe Video Linked to Windsor Castle Christmas Breach
London (AP) -- British police said Monday they were investigating a video linked to a man armed with a crossbow who was arrested at Windsor Castle on Christmas Day.
6
15
20",6,15,20
Bloomberg,@business,2021-12-27T13:03:23.000Z,"The Democratic Republic of Congo, a nation with one of the world’s lowest coronavirus inoculation rates, is planning to vaccinate 2 million people against cholera in 6 days
bloomberg.com
Covid Vaccination-Laggard Congo Plans Rapid Cholera Inoculations
The Democratic Republic of Congo, a nation with one of the world’s lowest coronavirus inoculation rates, is planning to vaccinate 2 million people against cholera in six days, according to a statem...
5
15
22Bloomberg
@business
·
5h
The Democratic Republic of Congo, a nation with one of the world’s lowest coronavirus inoculation rates, is planning to vaccinate 2 million people against cholera in 6 days
bloomberg.com
Covid Vaccination-Laggard Congo Plans Rapid Cholera Inoculations
The Democratic Republic of Congo, a nation with one of the world’s lowest coronavirus inoculation rates, is planning to vaccinate 2 million people against cholera in six days, according to a statem...
5
15
22",5,15,22
Bloomberg,@business,2021-12-27T12:11:02.000Z,"The 13 best new restaurants in Miami, as chosen by top chefs
bloomberg.com
The Best New Restaurants in Miami, as Chosen by Top Chefs
The 13 spots include a clubby Korean steakhouse, Spanish fare in an elevated garden, and superior sushi.
3
6
25Bloomberg
@business
·
6h
The 13 best new restaurants in Miami, as chosen by top chefs
bloomberg.com
The Best New Restaurants in Miami, as Chosen by Top Chefs
The 13 spots include a clubby Korean steakhouse, Spanish fare in an elevated garden, and superior sushi.
3
6
25",3,6,25
Bloomberg,@business,2021-12-27T11:59:04.000Z,"Here's why you see what you see when you open up Facebook http://bloom.bg/3st50SG (via 
@quicktake
)
4
24
62Bloomberg
@business
·
6h
Here's why you see what you see when you open up Facebook http://bloom.bg/3st50SG (via 
@quicktake
)
4
24
62",4,24,62
Bloomberg,@business,2021-12-27T11:51:27.000Z,"A new survey shows that 72% of CEOs are worried about losing their jobs in 2022 because of business disruptions
bloomberg.com
Fearing the Ax in 2022, CEOs Sweat Supply Chain More Than Covid
The C-suite is a bundle of nerves this winter. A new survey shows that 72% of chief executive officers are worried about losing their jobs in 2022 because of business disruptions, tracking closely...
10
36
68Bloomberg
@business
·
6h
A new survey shows that 72% of CEOs are worried about losing their jobs in 2022 because of business disruptions
bloomberg.com
Fearing the Ax in 2022, CEOs Sweat Supply Chain More Than Covid
The C-suite is a bundle of nerves this winter. A new survey shows that 72% of chief executive officers are worried about losing their jobs in 2022 because of business disruptions, tracking closely...
10
36
68",10,36,68
Bloomberg,@business,2021-12-27T11:50:09.000Z,"Hungary's forint tumbles to a record low against the euro in light post-holiday volumes https://trib.al/d5xhWun
2
4
21Bloomberg
@business
·
6h
Hungary's forint tumbles to a record low against the euro in light post-holiday volumes https://trib.al/d5xhWun
2
4
21",2,4,21
